mc,mn,quarterbeats,quarterbeats_all_endings,duration_qb,mc_onset,mn_onset,timesig,staff,voice,duration,nominal_duration,scalar,tied,tpc,midi,name,octave,chord_id,color,time,dur,player,capped,conflicting
4,4,18,18,6.0,0,0,12/8,2,1,3/2,1,3/2,,1,43,G2,2,51,,6.000000000000002,2,3,True,False
4,4,18,18,0.5,0,0,12/8,1,1,1/8,1/8,1,,3,69,A4,4,39,,6.000000000000002,0,1,False,False
4,4,37/2,37/2,0.5,1/8,1/8,12/8,1,1,1/8,1/8,1,,3,69,A4,4,40,,6.166666666666669,0,1,False,False
4,4,19,19,0.5,1/4,1/4,12/8,1,1,1/8,1/8,1,,5,71,B4,4,41,,6.333333333333336,0,2,False,False
4,4,39/2,39/2,0.5,3/8,3/8,12/8,1,1,1/8,1/8,1,,5,71,B4,4,42,,6.500000000000003,0,2,False,False
4,4,20,20,0.5,1/2,1/2,12/8,1,1,1/8,1/8,1,,5,71,B4,4,43,,6.66666666666667,0,2,False,False
4,4,41/2,41/2,0.5,5/8,5/8,12/8,1,1,1/8,1/8,1,,5,71,B4,4,44,,6.833333333333337,0,2,False,False
4,4,21,21,0.5,3/4,3/4,12/8,1,1,1/8,1/8,1,,0,72,C5,5,45,,7.0000000000000036,0,2,False,False
4,4,43/2,43/2,0.5,7/8,7/8,12/8,1,1,1/8,1/8,1,,5,71,B4,4,46,,7.1666666666666705,0,2,False,False
4,4,22,22,0.5,1,1,12/8,1,1,1/8,1/8,1,,5,71,B4,4,47,,7.3333333333333375,0,2,False,False
4,4,45/2,45/2,0.5,9/8,9/8,12/8,1,1,1/8,1/8,1,,5,71,B4,4,48,,7.500000000000004,0,2,False,False
4,4,23,23,0.5,5/4,5/4,12/8,1,1,1/8,1/8,1,,1,67,G4,4,49,,7.666666666666671,0,5,False,False
4,4,47/2,47/2,0.5,11/8,11/8,12/8,1,1,1/8,1/8,1,,1,67,G4,4,50,,7.833333333333338,0,5,False,False
5,5,24,24,6.0,0,0,12/8,2,1,3/2,1,3/2,,0,48,C3,3,64,,8.000000000000005,2,0,True,False
5,5,24,24,0.5,0,0,12/8,1,1,1/8,1/8,1,,3,69,A4,4,52,,8.000000000000005,0,1,False,False
5,5,49/2,49/2,0.5,1/8,1/8,12/8,1,1,1/8,1/8,1,,3,69,A4,4,53,,8.166666666666671,0,1,False,False
5,5,25,25,0.5,1/4,1/4,12/8,1,1,1/8,1/8,1,,5,71,B4,4,54,,8.333333333333337,0,2,False,False
5,5,51/2,51/2,0.5,3/8,3/8,12/8,1,1,1/8,1/8,1,,5,71,B4,4,55,,8.500000000000004,0,2,False,False
5,5,26,26,0.5,1/2,1/2,12/8,1,1,1/8,1/8,1,,5,71,B4,4,56,,8.66666666666667,0,2,False,False
5,5,53/2,53/2,0.5,5/8,5/8,12/8,1,1,1/8,1/8,1,,5,71,B4,4,57,,8.833333333333336,0,2,False,False
5,5,27,27,0.5,3/4,3/4,12/8,1,1,1/8,1/8,1,,0,72,C5,5,58,,9.000000000000002,0,2,False,False
5,5,55/2,55/2,0.5,7/8,7/8,12/8,1,1,1/8,1/8,1,,5,71,B4,4,59,,9.166666666666668,0,2,False,False
5,5,28,28,0.5,1,1,12/8,1,1,1/8,1/8,1,,5,71,B4,4,60,,9.333333333333334,0,2,False,False
5,5,57/2,57/2,0.5,9/8,9/8,12/8,1,1,1/8,1/8,1,,5,71,B4,4,61,,9.5,0,2,False,False
5,5,29,29,0.5,5/4,5/4,12/8,1,1,1/8,1/8,1,,1,67,G4,4,62,,9.666666666666666,0,5,False,False
5,5,59/2,59/2,0.5,11/8,11/8,12/8,1,1,1/8,1/8,1,,1,67,G4,4,63,,9.833333333333332,0,5,False,False
6,6,30,30,6.0,0,0,12/8,2,1,3/2,1,3/2,,1,43,G2,2,77,,9.999999999999998,2,3,True,False
6,6,30,30,0.5,0,0,12/8,1,1,1/8,1/8,1,,3,69,A4,4,65,,9.999999999999998,0,1,False,False
6,6,61/2,61/2,0.5,1/8,1/8,12/8,1,1,1/8,1/8,1,,3,69,A4,4,66,,10.166666666666664,0,1,False,False
6,6,31,31,0.5,1/4,1/4,12/8,1,1,1/8,1/8,1,,5,71,B4,4,67,,10.33333333333333,0,2,False,False
6,6,63/2,63/2,0.5,3/8,3/8,12/8,1,1,1/8,1/8,1,,5,71,B4,4,68,,10.499999999999996,0,2,False,False
6,6,32,32,0.5,1/2,1/2,12/8,1,1,1/8,1/8,1,,5,71,B4,4,69,,10.666666666666663,0,2,False,False
6,6,65/2,65/2,0.5,5/8,5/8,12/8,1,1,1/8,1/8,1,,5,71,B4,4,70,,10.833333333333329,0,2,False,False
6,6,33,33,0.5,3/4,3/4,12/8,1,1,1/8,1/8,1,,0,72,C5,5,71,,10.999999999999995,0,2,False,False
6,6,67/2,67/2,0.5,7/8,7/8,12/8,1,1,1/8,1/8,1,,5,71,B4,4,72,,11.16666666666666,0,2,False,False
6,6,34,34,0.5,1,1,12/8,1,1,1/8,1/8,1,,5,71,B4,4,73,,11.333333333333327,0,2,False,False
6,6,69/2,69/2,0.5,9/8,9/8,12/8,1,1,1/8,1/8,1,,5,71,B4,4,74,,11.499999999999993,0,2,False,False
6,6,35,35,0.5,5/4,5/4,12/8,1,1,1/8,1/8,1,,1,67,G4,4,75,,11.666666666666659,0,5,False,False
6,6,71/2,71/2,0.5,11/8,11/8,12/8,1,1,1/8,1/8,1,,1,67,G4,4,76,,11.833333333333325,0,5,False,False
7,7,36,36,6.0,0,0,12/8,2,1,3/2,1,3/2,,3,45,A2,2,90,,11.999999999999991,2,4,True,False
7,7,36,36,0.5,0,0,12/8,1,1,1/8,1/8,1,,3,69,A4,4,78,,11.999999999999991,0,1,False,False
7,7,73/2,73/2,0.5,1/8,1/8,12/8,1,1,1/8,1/8,1,,3,69,A4,4,79,,12.166666666666657,0,1,False,False
